"Sr No.","Holiday name","Date","Day"
"1","New Year Eve","1st January 2026","Thursday"
"2","Makara Sankranti / Uttarayana","15th January 2026","Thursday"
"3","Chhatrapati Shivaji Jayanthi","19th February 2026","Thursday"
"4","Holi","2nd March 2026","Monday"
"5","Ugadi / Gudi Padwa","19th March 2026","Thursday"
"6","Id ul Fitr","20th March 2026","Friday"
"7","Ram Navami","27th March 2026","Friday"
"8","Mahaveera Jayanthi","31st March 2026","Tuesday"
"9","Good Friday","3rd April 2026","Friday"
"10","Dr. B.R. Ambedkar Jayanthi","14th April 2026","Tuesday"
"11","Basava Jayanthi","20th April 2026","Monday"
"12","Labour Day / Buddha Purnima","1st May 2026","Friday"
"13","Eid-ul-Adha (Bakrid)","28th May 2026","Thursday"
"14","Muharram","26th June 2026","Friday"
"15","Eid-e-Milad","26th August 2026","Wednesday"
"16","Raksha Bandhan","28th August 2026","Friday"
"17","Janmashtami","4th September 2026","Friday"
"18","Ganesh Chaturthi","14th September 2026","Monday"
