"",Sr No.,Holiday name,Date,Day,
"",,,,,
"",1,Republic Day,26th January 2026,Monday,
"",,,,,
"",2,Gandhi Jayanthi,2nd October 2026,Friday,
"",,,,,
"",3,Vijayadasami,21st October 2026,Wednesday,
"",,,,,
"",4,Balipadyami Deepavali,10th November 2026,Tuesday,
"",,,,,
"",5,Christmas Day,25th December 2026,Friday,
"",,,,,
Sr No.,Holiday name,,Date,,Day
"",,,,,
1,New Year Eve,,1st January 2026,,Thursday
"",,,,,
2,Makara Sankranti / Uttarayana,,15th January 2026,,Thursday
"",,,,,
3,Chhatrapati Shivaji Jayanthi,,19th February 2026,,Thursday
"",,,,,
4,Holi,,2nd March 2026,,Monday
"",,,,,
5,Ugadi / Gudi Padwa,,19th March 2026,,Thursday
"",,,,,
6,Id ul Fitr,,20th March 2026,,Friday
"",,,,,
7,Ram Navami,,27th March 2026,,Friday
"",,,,,
8,Mahaveera Jayanthi,,31st March 2026,,Tuesday
"",,,,,
9,Good Friday,,3rd April 2026,,Friday
"",,,,,
10,Dr. B.R. Ambedkar Jayanthi,,14th April 2026,,Tuesday
"",,,,,
11,Basava Jayanthi,,20th April 2026,,Monday
"",,,,,
12,Labour Day / Buddha Purnima,,1st May 2026,,Friday
"",,,,,
13,Eid-ul-Adha (Bakrid),,28th May 2026,,Thursday
"",,,,,
14,Muharram,,26th June 2026,,Friday
"",,,,,
15,Eid-e-Milad,,26th August 2026,,Wednesday
"",,,,,
16,Raksha Bandhan,,28th August 2026,,Friday
"",,,,,
17,Janmashtami,,4th September 2026,,Friday
"",,,,,
18,Ganesh Chaturthi,,14th September 2026,,Monday
"",,,,,
19,Vishwakarma Jayanthi,17th September 2026,Thursday
20,Maha Ashtami,19th October 2026,Monday
21,Maha Navami,20th October 2026,Tuesday
22,Maharshi Valmiki Jayanthi,26th October 2026,Monday
23,Chhath Puja,16th November 2026,Monday
24,Guru Nanak Jayanthi,24th November 2026,Tuesday
25,Christmas Eve,24th December 2026,Thursday
